user_screen_name,rank
katyperry,1
justinbieber,2
ladygaga,3
barackobama,4
taylorswift13,5
youtube,6
britneyspears,7
rihanna,8
instagram,9
jtimberlake,10
twitter,11
jlo,12
theellenshow,13
cristiano,14
shakira,15
oprah,16
pink,17
ddlovato,18
officialadele,19
kimkardashian,20
harry_styles,21
aliciakeys,22
kaka,23
selenagomez,24
brunomars,25
nickiminaj,26
onedirection,27
eminem,28
niallofficial,29
mileycyrus,30
pitbull,31
aplusk,32
cnnbrk,33
real_liam_payne,34
liltunechi,35
louis_tomlinson,36
mariahcarey,37
billgates,38
avrillavigne,39
davidguetta,40
drake,41
twitter_es,42
facebook,43
chrisbrown,44
beyonce,45
parishilton,46
arianagrande,47
ryanseacrest,48
wizkhalifa,49
jimcarrey,50
coldplay,51
zaynmalik,52
emwatson,53
cnn,54
ubersoc,55
xtina,56
ashleytisdale,57
jimmyfallon,58
iamwill,59
snoopdogg,60
tyrabanks,61
kingjames,62
fcbarcelona,63
alejandrosanz,64
nytimes,65
charliesheen,66
mtv,67
kourtneykardash,68
kanyewest,69
realmadrid,70
ricky_martin,71
agnezmo,72
conanobrien,73
kevinhart4real,74
carlyraejepsen,75
neymarjr,76
iamdiddy,77
ivetesangalo,78
kelly_clarkson,79
simoncowell,80
danieltosh,81
twitpic,82
nba,83
usher,84
ludacris,85
paulocoelho,86
juanes,87
khloekardashian,88
edsheeran,89
leodicaprio,90
bbcbreaking,91
espn,92
dalailama,93
10ronaldinho,94
paurubio,95
programapanico,96
shaq,97
lmfao,98
claudialeitte,99
waynerooney,100
nickjonas,101
google,102
andresiniesta8,103
funnyordie,104
tweetramalan,105
lindsaylohan,106
mohamadalarefe,107
srbachchan,108
tomhanks,109
lucianohuck,110
3gerardpique,111
marcosmion,112
actuallynph,113
maroon5,114
rustyrockets,115
vineapp,116
50cent,117
zacefron,118
sherinamunaf,119
sabrinasatoreal,120
victoriabeckham,121
samsungmobile,122
treysongz,123
jessicaalba,124
jessicasimpson,125
victoriajustice,126
anahi,127
kendalljenner,128
enrique305,129
joejonas,130
evalongoria,131
snooki,132
therock,133
sportscenter,134
jessiej,135
detikcom,136
stephenfry,137
lunamaya26,138
breakingnews,139
daddy_yankee,140
iamsrk,141
xabialonso,142
radityadika,143
codysimpson,144
rafinhabastos,145
cnnee,146
mirandacosgrove,147
cesc4official,148
perezhilton,149
davidbisbal,150
neyocompound,151
carles5puyol,152
eonline,153
omgfacts,154
chespiritorgb,155
iamqueenlatifah,156
beingsalmankhan,157
fcbarcelona_es,158
annecurtissmith,159
kellyrowland,160
luisfonsi,161
johncena,162
kdtrey5,163
vidialdiano,164
uberfacts,165
afgansyah_reza,166
stephenathome,167
cherlloyd,168
nasa,169
rede_globo,170
theonion,171
nfl,172
cmylmz,173
hootsuite,174
sofiavergara,175
onelouderapps,176
rafaelnadal,177
starbucks,178
channingtatum,179
aamir_khan,180
chelseahandler,181
106andpark,182
thalia,183
rickygervais,184
justdemi,185
legendarios,186
twitcam,187
danilogentili,188
ciara,189
kyliejenner,190
marcoluque,191
peoplemag,192
michelleobama,193
priyankachopra,194
time,195
bbcworld,196
akon,197
natgeo,198
jason_mraz,199
itunesmusic,200
dr_alqarnee,201
ollyofficial,202
guaje7villa,203
jonas_ent,204
zooeydeschanel,205
sethmacfarlane,206
shugairi,207
tyga,208
bigsean,209
samsungmobileus,210
official_flo,211
rioferdy5,212
shireensungkar,213
marcanthony,214
showdavida,215
realwbonner,216
johnlegend,217
deepikapadukone,218
blakeshelton,219
aguerosergiokun,220
calle13oficial,221
iifespost,222
tip,223
austinmahone,224
sarahksilverman,225
marcelotas,226
littlemixoffic,227
montanertwiter,228
metro_tv,229
fearnecotton,230
ihrithik,231
bellathorne,232
officialjaden,233
notebook,234
juanluisguerra,235
jcolenc,236
maryjblige,237
nasehatsuper,238
bepe20s,239
oceara,240
rodrigovesgo,241
dwighthoward,242
adamlevine,243
dulcemaria,244
mesutozil1088,245
nickcannon,246
yokoono,247
andersoncooper,248
jennettemccurdy,249
nicolescherzy,250
luansantana,251
thexfactor,252
bep,253
chayannemusic,254
floydmayweather,255
robkardashian,256
indonesiainlove,257
stevemartintogo,258
iansomerhalder,259
souljaboy,260
lennykravitz,261
whitehouse,262
pontifex_es,263
sandyleah,264
cinema21,265
lilyallen,266
ricardo_arjona,267
noaheverett,268
spideranderson,269
twittermusic,270
cherylcole,271
theeconomist,272
djpaulyd,273
tomcruise,274
persie_official,275
sbyudhoyono,276
android,277
macmiller,278
redhourben,279
nicolerichie,280
ninadobrev,281
ahickmann,282
irfanbachdim10,283
revrunwisdom,284
cbabdullahgul,285
dwyanewade,286
reallamarodom,287
llcoolj,288
hollywills,289
msleamichele,290
carmeloanthony,291
eugenioderbez,292
chavezcandanga,293
salman_alodah,294
fiuk,295
kevinjonas,296
akshaykumar,297
fcbarcelona_cat,298
pepatah,299
143redangel,300
gitagut,301
galileamontijo,302
serenawilliams,303
kobebryant,304
jkcorden,305
sergioramos,306
miketyson,307
olla_ramlan,308
hilaryduff,309
sachin_rt,310
whattheffacts,311
galifianakisz,312
zendaya,313
diegoforlan7,314
jordinsparks,315
rt_erdogan,316
wwe,317
falcao,318
piersmorgan,319
lancearmstrong,320
microsoft,321
wsj,322
dior,323
siwon407,324
alancarr,325
scottdisick,326
blackberry,327
jonahhill,328
chanel,329
ajarabic,330
hcapriles,331
richardbranson,332
rainnwilson,333
simonpegg,334
tvonenews,335
reuters,336
donghae861015,337
omarchaparro,338
kata2bijak,339
tigerwoods,340
linkinpark,341
mashable,342
huffingtonpost,343
officialwillow,344
jamieoliver,345
seankingston,346
kerihilson,347
krisjenner,348
oserginho,349
jimmycarr,350
pittyleone,351
ochocinco,352
bridgitmendler,353
tomcavalcante1,354
werevertumorro,355
claroronaldo,356
calvinharris,357
danialvesd2,358
alarabiya_brk,359
yelyahwilliams,360
mishari_alafasy,361
wholefoods,362
billcosby,363
icarly,364
komedyieni,365
lakers,366
realhughjackman,367
girlposts,368
wossy,369
nabilalawadhy,370
foxnews,371
tonyhawk,372
gloriatrevi,373
nelly_mo,374
iamjamiefoxx,375
premierleague,376
keshasuxx,377
psy_oppa,378
kellyosbourne,379
shahidkapoor,380
jenniwoww,381
pontifex,382
hulyavsar,383
pretagil,384
azizansari,385
ritaora,386
gusttavo_lima,387
mirandalambert,388
vicegandako,389
snaptu,390
iamangelicap,391
galatasaraysk,392
jimmykimmel,393
disney,394
arrahman,395
sodamntrue,396
eleanorjcalder,397
jess_iskandar,398
wale,399
championsleague,400
googlechrome,401
officialozzy,402
scooterbraun,403
iamjhud,404
demetakalin,405
wyclef,406
talhabeeb,407
indrabektiasli,408
playstation,409
disneypixar,410
sonamakapoor,411
micheltelo,412
tylerperry,413
wisinyyandel,414
juniorbachchan,415
mlb,416
julietav,417
traviemccoy,418
rollingstone,419
lucyhale,420
garybarlow,421
victoriassecret,422
jimjonescapo,423
donomar,424
1dthisisus,425
joelmchale,426
toptweets,427
vinnyguadagnino,428
arsenal,429
voguemagazine,430
windows,431
noticiasrcn,432
mchammer,433
officialtulisa,434
muyinteresante,435
lord_sugar,436
randyorton,437
droz,438
bigtimerush,439
nellyfurtado,440
lanadelrey,441
dropbox,442
skrillex,443
polo_polo,444
carrieunderwood,445
emilyosment,446
noelschajris,447
nickelodeontv,448
chinoynacho,449
laurenconrad,450
techcrunch,451
carlosloret,452
chelseafc,453
giulianarancic,454
antanddec,455
autocorrects,456
usainbolt,457
