"","ChunkHash","Activation"
"542",2970,-7.93060747037059
"543",2980,-8.01035958891978
"544",3025,-7.98744882764803
"545",3036,-7.97964378614746
"546",3074,-7.98514324602194
"547",3080,-7.98514324602194
"548",3096,-7.96739783356954
"549",3101,-8.01035958891978
"550",3167,-7.98256582504807
"551",3222,-8.01035958891978
"552",3223,-8.01035958891978
"553",3269,-8.01035958891978
"554",3294,-7.98514324602194
"555",3333,-7.99773381652661
"556",3341,-8.01035958891978
"557",3346,-8.01035958891978
"558",3354,-7.994811777626
"559",3400,-8.01035958891978
"560",3489,-8.01035958891978
"561",3549,-8.01035958891978
"562",3553,-8.01035958891978
"563",3555,-8.01035958891978
"564",3574,-8.01035958891978
"565",3734,-8.01035958891978
"566",3781,-8.01035958891978
"567",3793,-8.01035958891978
"568",3804,-7.18263348363373
"569",3844,-8.01035958891978
"570",3880,-7.93296116511496
"571",3891,-7.99143853127428
"572",3894,-7.99143853127428
"573",3895,-7.99143853127428
"574",3908,-8.01035958891978
"575",3921,-8.01035958891978
"576",3922,-8.01035958891978
"577",3958,-7.99319008872407
"578",4015,-8.01035958891978
"579",4048,-8.01035958891978
"580",4049,-8.01035958891978
"581",4093,-8.01035958891978
"582",4105,-8.01035958891978
"583",4116,-8.01035958891978
"584",4141,-8.01035958891978
"585",4166,-7.98514324602194
"586",4184,-7.98514324602194
"587",4198,-7.93876750269835
"588",4222,-8.01035958891978
"589",4237,-7.60478080994107
"590",4252,-8.01035958891978
"591",4276,-7.99906045215738
"592",4307,-8.01035958891978
"593",4312,-8.01035958891978
"594",4315,-7.98514324602194
"595",4337,-8.01035958891978
"596",4348,-8.01035958891978
"597",4363,-8.01035958891978
"598",4364,-8.01035958891978
"599",4365,-8.01035958891978
"600",4366,-8.01035958891978
"601",4382,-7.97627053979574
"602",4484,-7.97627053979574
"603",4489,-8.01035958891978
"604",4496,-8.01035958891978
"605",4506,-8.01035958891978
"606",4519,-8.01035958891978
"607",4530,-8.01035958891978
"608",4539,-7.98115354239569
"609",4568,-8.01035958891978
"610",4569,-8.01035958891978
"611",4612,-8.01035958891978
"612",4639,-8.00749982172652
"613",4655,-7.9085397159054
"614",4669,-7.0894841576977
"615",4705,-8.01035958891978
"616",4715,-8.01035958891978
"617",4738,-8.01035958891978
"618",4742,-8.01035958891978
"619",4820,-8.01035958891978
"620",4840,-7.99773381652661
"621",4870,-8.01035958891978
"622",4873,-8.01035958891978
"623",4882,-8.01035958891978
"624",4889,-8.01035958891978
"625",4900,-7.97501975445265
"626",4920,-8.01035958891978
"627",4924,-8.01035958891978
"628",4959,-8.01035958891978
"629",4960,-8.01035958891978
"630",5034,-7.98953447992453
"631",5045,-7.98953447992453
"632",5073,-8.01035958891978
"633",5077,-8.01035958891978
"634",5096,-8.01035958891978
"635",5097,-8.01035958891978
"636",5124,-8.01035958891978
"637",5139,-8.01035958891978
"638",5154,-7.98851649237366
"639",5163,-7.98851649237366
"640",5168,-7.98851649237366
"641",5286,-8.01035958891978
"642",5287,-8.01035958891978
"643",5313,-8.01035958891978
"644",5330,-7.98744882764803
"645",5365,-8.01035958891978
"646",5369,-7.98744882764803
"647",5378,-7.98744882764803
"648",5393,-7.98953447992453
"649",5399,-8.01035958891978
"650",5456,-8.01035958891978
"651",5519,-7.93296116511496
"652",5525,-8.01035958891978
"653",5536,-8.01035958891978
"654",5574,-8.01035958891978
"655",5587,-8.01035958891978
"656",5619,-8.01035958891978
"657",5629,-7.98953447992453
"658",5640,-7.98953447992453
"659",5641,-7.98953447992453
"660",5666,-8.01035958891978
"661",5667,-8.01035958891978
"662",5685,-7.16797284923731
"663",5701,-7.9611025483172
"664",5712,-7.97964378614746
"665",5713,-8.01035958891978
"666",5723,-8.01035958891978
"667",5726,-8.01035958891978
"668",5738,-8.01035958891978
"669",5747,-8.01035958891978
"670",5782,-8.01035958891978
"671",5816,-8.01035958891978
"672",5847,-8.01035958891978
"673",5850,-8.01035958891978
"674",5874,-7.98256582504807
"675",5877,-7.98256582504807
"676",5916,-8.01035958891978
"677",5917,-8.01035958891978
"678",5918,-8.01035958891978
"679",5966,-7.98953447992453
"680",5971,-8.01035958891978
"681",5973,-8.01035958891978
"682",5986,-8.01035958891978
"683",6004,-7.98744882764803
"684",6064,-8.01035958891978
"685",6077,-7.98514324602194
"686",6084,-7.98514324602194
"687",6129,-8.01035958891978
"688",6160,-8.01035958891978
"689",6217,-7.99773381652661
"690",6251,-7.97627053979574
"691",6252,-7.97627053979574
"692",6255,-8.01035958891978
"693",6259,-8.01035958891978
"694",6279,-8.01035958891978
"695",6315,-8.01035958891978
"696",6346,-8.01035958891978
"697",6352,-8.01035958891978
"698",6386,-8.01035958891978
"699",6457,-8.01035958891978
"700",6461,-8.01035958891978
"701",6462,-8.01035958891978
"702",6476,-8.01035958891978
"703",6491,-7.99143853127428
"704",6537,-8.01035958891978
"705",6551,-8.01035958891978
"706",6552,-8.01035958891978
"707",6567,-7.99143853127428
"708",6590,-7.99143853127428
"709",6596,-7.99143853127428
"710",6597,-7.99143853127428
"711",6621,-8.01035958891978
"712",6623,-8.01035958891978
"713",6624,-8.01035958891978
"714",6665,-8.01035958891978
"715",6678,-8.01035958891978
"716",6679,-8.01035958891978
"717",6680,-8.01035958891978
"718",6705,-8.01035958891978
"719",6733,-7.95632988571734
"720",6747,-7.98256582504807
"721",6770,-8.01035958891978
"722",6775,-8.01035958891978
"723",6776,-8.01035958891978
"724",6786,-8.01035958891978
"725",6787,-8.01035958891978
"726",6790,-8.01035958891978
"727",6805,-7.97964378614746
"728",6806,-7.97964378614746
"729",6808,-8.01035958891978
"730",6829,-8.01035958891978
"731",6830,-8.01035958891978
"732",6831,-8.01035958891978
"733",6832,-8.01035958891978
"734",6844,-8.01035958891978
"735",6847,-7.9611025483172
"736",6852,-8.01035958891978
"737",6866,-7.98953447992453
"738",6904,-8.01035958891978
"739",6913,-8.01035958891978
"740",6915,-8.01035958891978
"741",6922,-8.01035958891978
"742",6957,-7.98744882764803
"743",7042,-8.01035958891978
"744",7043,-8.01035958891978
"745",7061,-8.01035958891978
"746",7109,-7.97228083616949
"747",7161,-8.01035958891978
"748",7188,-8.01035958891978
"749",7192,-8.01035958891978
"750",7203,-8.01035958891978
"751",7207,-7.90649351248596
"752",7299,-8.01035958891978
"753",7310,-8.01035958891978
"754",7355,-7.99143853127428
"755",7382,-7.51134153445215
"756",7392,-7.98744882764803
"757",7400,-8.01035958891978
"758",7422,-8.01035958891978
"759",7431,-8.01035958891978
"760",7440,-7.98115354239569
"761",7514,-8.01035958891978
"762",7523,-8.01035958891978
"763",7524,-8.01035958891978
"764",7528,-8.01035958891978
"765",7581,-8.01035958891978
"766",7588,-8.01035958891978
"767",7595,-8.01035958891978
"768",7627,-8.01035958891978
"769",7642,-7.98744882764803
"770",7659,-7.91441236806061
"771",7704,-8.00261681912656
"772",7730,-8.01035958891978
"773",7743,-7.97228083616949
"774",7749,-8.01035958891978
"775",7762,-8.01035958891978
"776",7775,-8.01035958891978
"777",7789,-8.01035958891978
"778",7792,-8.01035958891978
"779",7808,-8.01035958891978
"780",7848,-7.994811777626
"781",7893,-7.98256582504807
"782",7897,-8.01035958891978
"783",7928,-7.98256582504807
"784",7930,-7.98256582504807
"785",7978,-7.98256582504807
"786",8006,-8.01035958891978
"787",8020,-8.01035958891978
"788",8021,-8.01035958891978
"789",8026,-7.97228083616949
"790",8082,-8.01035958891978
"791",8097,-8.01035958891978
"792",8098,-8.01035958891978
"793",8106,-8.01035958891978
"794",8122,-8.01035958891978
"795",8131,-8.01035958891978
"796",8137,-8.01035958891978
"797",8216,-8.01035958891978
"798",8280,-8.01035958891978
"799",8283,-8.01035958891978
"800",8291,-7.97627053979574
"801",8312,-8.01035958891978
"802",8317,-8.01035958891978
"803",8318,-8.01035958891978
"804",8343,-7.99319008872407
"805",8363,-8.01035958891978
"806",8435,-7.96739783356954
"807",8436,-7.96739783356954
"808",8444,-8.01035958891978
"809",8463,-8.01035958891978
"810",8464,-8.01035958891978
"811",8489,-7.98514324602194
"812",8499,-8.01035958891978
"813",8517,-8.01035958891978
"814",8527,-8.01035958891978
"815",8548,-8.01035958891978
"816",8551,-8.01035958891978
"817",8574,-7.96914939101933
"818",8593,-8.01035958891978
"819",8616,-8.01035958891978
"820",8653,-8.01035958891978
"821",8674,-8.01035958891978
"822",8682,-8.01035958891978
"823",8685,-8.01035958891978
"824",8686,-8.01035958891978
"825",8688,-8.01035958891978
"826",8731,-8.01035958891978
"827",8736,-8.01035958891978
"828",8769,-7.93620930545092
"829",8807,-7.9375512024948
"830",8825,-8.01035958891978
"831",8876,-8.01035958891978
"832",8884,-7.97964378614746
"833",8927,-8.01035958891978
"834",8954,-8.01035958891978
"835",8963,-8.01035958891978
"836",8964,-8.01035958891978
"837",8983,-7.99143853127428
"838",9059,-8.01035958891978
"839",9060,-8.01035958891978
"840",9061,-8.01035958891978
"841",9093,-8.01035958891978
"842",9094,-8.01035958891978
"843",9117,-8.01035958891978
"844",9146,-7.93026705706331
"845",9150,-7.93026705706331
"846",9152,-7.93026705706331
"847",9153,-7.98953447992453
"848",9172,-8.01035958891978
"849",9180,-8.01035958891978
"850",9192,-8.01035958891978
"851",9217,-7.97627053979574
"852",9218,-7.97627053979574
"853",9253,-8.01035958891978
"854",9258,-8.01035958891978
"855",9259,-8.01035958891978
"856",9261,-8.01035958891978
"857",9262,-8.01035958891978
"858",9303,-8.01035958891978
"859",9333,-8.01035958891978
"860",9334,-8.01035958891978
"861",9356,-8.01035958891978
"862",9357,-8.01035958891978
"863",9393,-8.01035958891978
"864",9409,-8.01035958891978
"865",9454,-7.98953447992453
"866",9492,-7.6221640577329
"867",9503,-7.6221640577329
"868",9534,-8.01035958891978
"869",9536,-8.01035958891978
"870",9545,-8.01035958891978
"871",9612,-8.01035958891978
"872",9614,-8.01035958891978
"873",9661,-7.99632153387423
"874",9732,-8.01035958891978
"875",9737,-8.01035958891978
"876",9738,-8.01035958891978
"877",9779,-7.9611025483172
"878",9783,-7.9611025483172
"879",9823,-8.01035958891978
"880",9824,-8.01035958891978
"881",9859,-8.01035958891978
"882",9865,-8.01035958891978
"883",9870,-8.01035958891978
"884",9876,-8.01035958891978
"885",9883,-8.01035958891978
"886",9884,-8.01035958891978
"887",9946,-7.91135856643487
"888",9976,-7.13179052797241
"889",9989,-7.98514324602194
"890",9990,-7.98514324602194
"891",9992,-8.01035958891978
"892",10001,-8.01035958891978
"893",10002,-8.01035958891978
"894",10003,-8.01035958891978
"895",10004,-8.01035958891978
"896",10036,-8.01035958891978
"897",10058,-7.98115354239569
"898",10068,-7.98115354239569
"899",10069,-7.98115354239569
"900",10070,-7.98115354239569
"901",10103,-7.99773381652661
"902",10105,-7.99773381652661
"903",10128,-8.01035958891978
"904",10161,-8.01035958891978
"905",10167,-8.01035958891978
"906",10194,-7.90542362121376
"907",10232,-8.01035958891978
"908",10233,-8.01035958891978
"909",10234,-8.01035958891978
"910",10289,-7.99319008872407
"911",10302,-7.98953447992453
"912",10331,-7.98744882764803
"913",10341,-8.01035958891978
"914",10369,-8.01035958891978
"915",10391,-8.01035958891978
"916",10435,-8.01035958891978
"917",10442,-8.01035958891978
"918",10459,-8.01035958891978
"919",10501,-7.994811777626
"920",10515,-8.01035958891978
"921",10552,-8.01035958891978
"922",10563,-8.01035958891978
"923",10592,-8.01035958891978
"924",10593,-8.01035958891978
"925",10601,-8.01035958891978
"926",10602,-8.01035958891978
"927",10613,-8.01035958891978
"928",10626,-8.01035958891978
"929",10647,-7.98744882764803
"930",10648,-8.01035958891978
"931",10660,-8.01035958891978
"932",10712,-8.01035958891978
"933",10713,-8.01035958891978
"934",10726,-8.01035958891978
"935",10763,-7.98514324602194
"936",10773,-8.01035958891978
"937",10796,-8.01035958891978
"938",10863,-8.01035958891978
"939",10869,-8.01035958891978
"940",10893,-8.01035958891978
"941",10898,-8.01035958891978
