"","i","j","x"
"1",18,13,5.1614481409002
"2",66,13,107.65306122449
"3",339,13,27.3033126293996
"4",671,13,75.3571428571429
"5",2946,13,156.994047619048
"6",3893,13,55.4096638655462
"7",12373,13,198.308270676692
"8",1,19,1.91456155632985
"9",3,19,0.872143008306439
"10",7,19,4.28861788617886
"11",8,19,1.41486660467778
"12",9,19,2.87184233449477
"13",13,19,53.6077235772358
"14",14,19,0.807576897504987
"15",18,19,1.32183427998664
"16",19,19,7.60650131839156
"17",21,19,1.83797909407665
"18",22,19,0.645876187677539
"19",35,19,3.97094248720265
"20",37,19,0.518784421715185
"21",39,19,1.78692411924119
"22",40,19,1.32911711348518
"23",60,19,4.12367104440275
"24",62,19,1.08664304548451
"25",66,19,4.59494773519164
"26",80,19,0.769488855175633
"27",90,19,0.584811529933481
"28",92,19,1.96725591109122
"29",95,19,0.80815663684275
"30",96,19,0.458185671600306
"31",104,19,2.14430894308943
"32",120,19,4.23218870346598
"33",121,19,0.893462059620596
"34",130,19,1.14464890200503
"35",144,19,1.10152856665553
"36",224,19,1.36290822653989
"37",228,19,3.92251635930993
"38",257,19,1.18908074478157
"39",315,19,20.1028963414634
"40",355,19,0.963012998393457
"41",378,19,3.39767262109241
"42",379,19,3.39767262109241
"43",422,19,0.800115277272176
"44",450,19,8.04115853658537
"45",486,19,17.8692411924119
"46",682,19,2.92405764966741
"47",715,19,0.850916247257711
"48",837,19,48.2469512195122
"49",893,19,14.620288248337
"50",1077,19,6.43292682926829
"51",1350,19,80.4115853658537
"52",1433,19,17.8692411924119
"53",1434,19,6.9923117709438
"54",1436,19,3.92251635930993
"55",1438,19,32.1646341463415
"56",1444,19,5.74368466898955
"57",1459,19,53.6077235772358
"58",1522,19,6.70096544715447
"59",1890,19,40.2057926829268
"60",2357,19,22.9747386759582
"61",2581,19,8.46437740693196
"62",2598,19,10.0514481707317
"63",2726,19,17.8692411924119
"64",2908,19,8.46437740693196
"65",2932,19,12.3710131332083
"66",2969,19,1.51719972388403
"67",2995,19,32.1646341463415
"68",2998,19,32.1646341463415
"69",3002,19,32.1646341463415
"70",3003,19,32.1646341463415
"71",3496,19,17.8692411924119
"72",3853,19,8.61552700348432
"73",4798,19,26.8038617886179
"74",5043,19,7.6582462253194
"75",5571,19,14.620288248337
"76",5955,19,10.0514481707317
"77",6188,19,3.65507206208426
"78",6385,19,13.4019308943089
"79",6862,19,16.0823170731707
"80",6865,19,26.8038617886179
"81",7668,19,14.620288248337
"82",8221,19,17.8692411924119
"83",8275,19,17.8692411924119
"84",8314,19,17.8692411924119
"85",9334,19,16.0823170731707
"86",9574,19,20.1028963414634
"87",9694,19,17.8692411924119
"88",11389,19,32.1646341463415
"89",14693,19,160.823170731707
"90",19469,19,160.823170731707
"91",20322,19,80.4115853658537
"92",20328,19,80.4115853658537
"93",22406,19,53.6077235772358
"94",22407,19,17.8692411924119
"95",28510,19,53.6077235772358
"96",30135,19,40.2057926829268
"97",34746,19,53.6077235772358
"98",38896,19,40.2057926829268
"99",44113,19,53.6077235772358
"100",44117,19,20.1028963414634
"101",51603,19,32.1646341463415
"102",51604,19,20.1028963414634
"103",51607,19,32.1646341463415
"104",62887,19,160.823170731707
"105",74424,19,80.4115853658537
"106",75035,19,160.823170731707
"107",75600,19,22.9747386759582
"108",77690,19,40.2057926829268
"109",81055,19,32.1646341463415
"110",90132,19,53.6077235772358
"111",104014,19,53.6077235772358
"112",112161,19,40.2057926829268
"113",112912,19,32.1646341463415
"114",114562,19,40.2057926829268
"115",114565,19,40.2057926829268
"116",114566,19,40.2057926829268
"117",114567,19,40.2057926829268
"118",117547,19,32.1646341463415
"119",3,65,2.60057187931374
"120",5,65,12.1097337006428
"121",14,65,0.860016955784531
"122",18,65,3.28455790784558
"123",66,65,34.2532467532468
"124",80,65,2.86809482383645
"125",95,65,3.01222019186843
