"","user_screen_name","topHashtag","hashtagUsedP","d","NCell","DVName","maxNP","totN"
"1","twitter_ru",FALSE,FALSE,0,624,"topHashtagAct",FALSE,NA
"2","twitter_ru",FALSE,TRUE,0,9,"topHashtagAct",TRUE,53
"3","twitter_ru",TRUE,FALSE,0,48,"topHashtagAct",TRUE,NA
"4","twitter_ru",TRUE,TRUE,0,5,"topHashtagAct",FALSE,53
"5","twitter_ru",FALSE,FALSE,0.1,627,"topHashtagAct",FALSE,NA
"6","twitter_ru",FALSE,TRUE,0.1,6,"topHashtagAct",FALSE,53
"7","twitter_ru",TRUE,FALSE,0.1,45,"topHashtagAct",FALSE,NA
"8","twitter_ru",TRUE,TRUE,0.1,8,"topHashtagAct",FALSE,53
"9","twitter_ru",FALSE,FALSE,0.2,628,"topHashtagAct",FALSE,NA
"10","twitter_ru",FALSE,TRUE,0.2,5,"topHashtagAct",FALSE,53
"11","twitter_ru",TRUE,FALSE,0.2,44,"topHashtagAct",FALSE,NA
"12","twitter_ru",TRUE,TRUE,0.2,9,"topHashtagAct",FALSE,53
"13","twitter_ru",FALSE,FALSE,0.3,628,"topHashtagAct",FALSE,NA
"14","twitter_ru",TRUE,FALSE,0.3,44,"topHashtagAct",FALSE,NA
"15","twitter_ru",FALSE,TRUE,0.3,5,"topHashtagAct",FALSE,53
"16","twitter_ru",TRUE,TRUE,0.3,9,"topHashtagAct",FALSE,53
"17","twitter_ru",FALSE,FALSE,0.4,628,"topHashtagAct",FALSE,NA
"18","twitter_ru",TRUE,FALSE,0.4,44,"topHashtagAct",FALSE,NA
"19","twitter_ru",FALSE,TRUE,0.4,5,"topHashtagAct",FALSE,53
"20","twitter_ru",TRUE,TRUE,0.4,9,"topHashtagAct",FALSE,53
"21","twitter_ru",FALSE,FALSE,0.5,628,"topHashtagAct",FALSE,NA
"22","twitter_ru",TRUE,FALSE,0.5,44,"topHashtagAct",FALSE,NA
"23","twitter_ru",FALSE,TRUE,0.5,5,"topHashtagAct",FALSE,53
"24","twitter_ru",TRUE,TRUE,0.5,9,"topHashtagAct",FALSE,53
"25","twitter_ru",FALSE,FALSE,0.6,628,"topHashtagAct",FALSE,NA
"26","twitter_ru",TRUE,FALSE,0.6,44,"topHashtagAct",FALSE,NA
"27","twitter_ru",FALSE,TRUE,0.6,5,"topHashtagAct",FALSE,53
"28","twitter_ru",TRUE,TRUE,0.6,9,"topHashtagAct",FALSE,53
"29","twitter_ru",FALSE,FALSE,0.7,628,"topHashtagAct",FALSE,NA
